success,trial_type,trial_index,time_elapsed,internal_node_id,subject,date,time,line_1,line_2,line_3,rt,phase,stim_pos_y,stim_pos_x,first_stage,last_stage,show_money_val,p_o1,safe_val,o1_val,o2_val,o1_image,o2_image,safe_image,choice_image,key_press_num,choice,accept,outcome_reached,points_received,safe_val_base,safe_val_actual,p_trigger,trigger_val_base,trigger_val_actual,o1_trigger,safe_noise,trigger_noise,other_noise,matched_safe,gl_type,choice_number,trial_num,outcome_image,outcome_val,outcome_name,correct,key,practice_quiz_pct,practice_bonus_trial_points_avg,test_quiz_pct,test_bonus_trial_points_avg,stimulus,button_pressed
,evan-run-trial,47,517795,0.0-47.0,1,aug_19_2019,1716,,,,4191.295,TEST,1,1,1,4,TRUE,0.2,40,0,70,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Zebra.png,50,2,0,3,40,40,40,0.8,70,70,FALSE,0,0,0,FALSE,gain,1,47,,,,,,,,,,,
,evan-run-trial,48,528639,0.0-48.0,1,aug_19_2019,1716,,,,2695.595,TEST,1,1,1,4,TRUE,0.2,40,70,0,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Zebra.png,49,1,1,2,0,40,40,0.2,70,70,TRUE,0,0,0,FALSE,gain,1,48,,,,,,,,,,,
,evan-display-text,49,533643,0.0-49.0,1,aug_19_2019,1716,Great work!.,Let's take a 5 second break.,,,TRAIN INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,evan-run-trial,50,544435,0.0-50.0,1,aug_19_2019,1716,,,,2655.555,TEST,1,1,1,4,TRUE,0.4,20,50,0,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Hand.png,50,2,0,3,20,20,20,0.4,50,50,TRUE,0,0,0,FALSE,gain,2,50,,,,,,,,,,,
,evan-run-trial,51,550207,0.0-51.0,1,aug_19_2019,1716,,,,null,REW TEST 1,1,1,1,1,TRUE,0,40,70,0,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Hand.png,null,null,null,null,null,,,,,,,,,,,,,51,,,,,,,,,,,
,evan-reward-quiz,52,553403,0.0-52.0,1,aug_19_2019,1716,,,,2692.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stimuli/Evan_Stimuli/Scissors.png,70,SCISSORS,0,52,,,,,,
,evan-run-trial,53,566119,0.0-53.0,1,aug_19_2019,1716,,,,4553.35,TEST,1,1,1,4,TRUE,0.8,20,50,0,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Butterfly.png,49,1,1,1,50,20,20,0.8,50,50,TRUE,0,0,0,FALSE,gain,4,53,,,,,,,,,,,
,evan-run-trial,54,577680,0.0-54.0,1,aug_19_2019,1716,,,,3409.125,TEST,1,1,1,4,TRUE,0.6,40,0,90,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Pepper.png,49,1,1,1,0,40,40,0.4,90,90,FALSE,0,0,0,TRUE,gain,3,54,,,,,,,,,,,
,evan-run-trial,55,588956,0.0-55.0,1,aug_19_2019,1716,,,,3129.475,TEST,1,1,1,4,TRUE,0.2,40,90,0,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Zebra.png,50,2,0,3,40,40,40,0.2,90,90,TRUE,0,0,0,FALSE,gain,1,55,,,,,,,,,,,
,evan-run-trial,56,600199,0.0-56.0,1,aug_19_2019,1716,,,,3101.55,TEST,1,1,1,4,TRUE,0.6,40,70,0,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Pepper.png,49,1,1,2,0,40,40,0.6,70,70,TRUE,0,0,0,FALSE,gain,3,56,,,,,,,,,,,
,evan-display-text,57,622870,0.0-57.0,1,aug_19_2019,1716,Great job! You're a quarter of the way through this part of the task.,,,22670.27,TRAIN INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,evan-run-trial,58,634961,0.0-58.0,1,aug_19_2019,1716,,,,3943.325,TEST,1,1,1,4,TRUE,0.2,75,0,90,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Zebra.png,50,2,0,3,75,75,75,0.8,90,90,FALSE,0,0,0,TRUE,gain,1,57,,,,,,,,,,,
,evan-run-trial,59,647457,0.0-59.0,1,aug_19_2019,1716,,,,4344.945,TEST,1,1,1,4,TRUE,0.8,15,0,70,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Butterfly.png,50,2,0,3,15,15,15,0.2,70,70,FALSE,0,0,0,TRUE,gain,4,58,,,,,,,,,,,
,evan-display-text,60,652310,0.0-60.0,1,aug_19_2019,1716,The next set of games will all have negative points.,Collecting more of these will make your bonus smaller.,,4852.125,TRAIN INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,evan-run-trial,61,663586,0.0-61.0,1,aug_19_2019,1716,,,,3125.41,TEST,1,1,1,4,TRUE,0.2,-20,-50,0,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Zebra.png,49,1,1,1,-50,-20,-20,0.2,-50,-50,TRUE,0,0,0,FALSE,loss,1,60,,,,,,,,,,,
,evan-run-trial,62,674462,0.0-62.0,1,aug_19_2019,1716,,,,2726.975,TEST,1,1,1,4,TRUE,0.6,-40,-90,0,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Pepper.png,50,2,0,3,-40,-40,-40,0.6,-90,-90,TRUE,0,0,0,FALSE,loss,3,61,,,,,,,,,,,
,evan-run-trial,63,684522,0.0-63.0,1,aug_19_2019,1716,,,,1916.17,TEST,1,1,1,4,TRUE,0.6,-40,-50,0,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Pepper.png,49,1,1,1,-50,-40,-40,0.6,-50,-50,TRUE,0,0,0,FALSE,loss,3,62,,,,,,,,,,,
